codigo,corretora_atual,produto_painel,emissor_painel,indexador,data_emissao,vencimento,quantidade_atual,preco_curva_atual,valor_curva_atual,data_primeira_aquisicao_aberta,data_ultima_aquisicao_aberta,data_aquisicao_media,quantidade_aberta_historico,custo_aquisicao_total_aberto,pu_aquisicao_medio_aberto,lotes_abertos,status_posicao_compra,detalhe_lotes_abertos
nan,,,,,,,,,,,,,0.0,0.0,,0,sem_historico_compra_corretora,
nan,,,,,,,,,,,,,0.0,0.0,,0,sem_historico_compra_corretora,
nan,,,,,,,,,895345.91,,,,0.0,0.0,,0,sem_historico_compra_corretora,
21K00733631,BANCO BTG PACTUAL S.A.,LCA - BANCO BTG PACTUAL S.A.,BANCO BTG PACTUAL S.A.,PREFIXADO,19/11/2021,18/11/2026,3.0,1570.83209,4712.49,,,,0.0,0.0,,0,sem_historico_compra_corretora,
22A00730112,BANCO BTG PACTUAL S.A.,LCA - BANCO BTG PACTUAL S.A.,BANCO BTG PACTUAL S.A.,PREFIXADO,18/01/2022,16/01/2029,1.0,1523.623267,1523.62,,,,0.0,0.0,,0,sem_historico_compra_corretora,
24F02001983,BANCO BTG PACTUAL S.A.,LCA - BANCO ORIGINAL S/A,BANCO ORIGINAL S/A,DI,24/06/2024,13/08/2026,2.0,1247.52298,2495.05,2026-02-24,2026-02-24,2026-02-24,2.0,2456.12,1228.06,1,ok,2026-02-24 | q=2 | custo=2456.12
25A02306225,BANCO BTG PACTUAL S.A.,LCA - BANCO ORIGINAL S/A,BANCO ORIGINAL S/A,PREFIXADO,14/01/2025,16/11/2026,2.0,1174.059321,2348.11,,,,0.0,0.0,,0,sem_historico_compra_corretora,
25K02742867,BANCO BTG PACTUAL S.A.,LCA - BANCO ORIGINAL S/A,BANCO ORIGINAL S/A,DI,17/11/2025,16/11/2029,2.0,1051.99568,2103.99,2026-02-23,2026-02-23,2026-02-23,2.0,2070.72,1035.36,1,ok,2026-02-23 | q=2 | custo=2070.72
25L00519473,BANCO BTG PACTUAL S.A.,LCI - BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,DI,03/12/2025,03/12/2027,1800000.0,0.01000537,18009.66,,,,0.0,0.0,,0,sem_historico_compra_corretora,
25L00519480,BANCO BTG PACTUAL S.A.,LCI - BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,DI,03/12/2025,04/12/2028,800000.0,0.01000542,8004.33,,,,0.0,0.0,,0,sem_historico_compra_corretora,
25L00519482,BANCO BTG PACTUAL S.A.,LCI - BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,DI,03/12/2025,03/12/2029,400000.0,0.01000548,4002.19,,,,0.0,0.0,,0,sem_historico_compra_corretora,
25L03388979,BANCO BTG PACTUAL S.A.,LCA - BANCO ORIGINAL S/A,BANCO ORIGINAL S/A,DI,19/12/2025,18/12/2028,1.0,1038.93351,1038.93,2026-02-23,2026-02-23,2026-02-23,1.0,1022.59,1022.59,1,ok,2026-02-23 | q=1 | custo=1022.59
CDB124C2KA1,BANCO BTG PACTUAL S.A.,CDB - BANCO PLENO SA - EM LIQUIDACAO EXTRAJUDICIAL,BANCO PLENO SA - EM LIQUIDACAO EXTRAJUDICIAL,DI,31/01/2024,01/02/2027,2.0,1365.82218,2731.64,2026-01-06,2026-01-06,2026-01-06,2.0,2514.33,1257.165,1,ok,2026-01-06 | q=2 | custo=2514.33
CDB222OOJ0S,BANCO BTG PACTUAL S.A.,CDB - WILL FINANCEIRA S.A. CREDITO FINANCIAMENTO E INVESTIMENTO,WILL FINANCEIRA S.A. CREDITO FINANCIAMENTO E INVESTIMENTO,DI,17/06/2022,17/06/2026,33.0,1744.64257,57573.2,2026-01-14,2026-01-14,2026-01-14,32.0,54562.65,1705.082812,2,ok,2026-01-14 | q=8 | custo=13227.31 || 2026-01-14 | q=24 | custo=41335.34
